value,ocid,buyer,buyer_type
70,acsa-power-retic-maint-rfq,,(unknown)
83.3,cge-wan-voip,,(unknown)
75,dbsa-bulk-water-feasibility,,(unknown)
60,dlrrd-cleaning-hygiene-kzn,,(unknown)
75,fs-publicworks-eoi-qs,,(unknown)
70,hda-asbestos-monitoring-prt,,(unknown)
80,joburgtheatre-ahu-replacement,,(unknown)
80,joburgtheatre-frozen-dry-goods,,(unknown)
75,kokstad-franklin-roads,,(unknown)
60,limpopo-dsd-catering,,(unknown)
60,mkhondo-task-work-study,,(unknown)
70,mpofana-healthcare-panel,,(unknown)
70,mvula-qs-psp-sanitation,,(unknown)
80,namakwa-dm-banking,,(unknown)
70,nc-coghsta-bng-nababeep,,(unknown)
70,nkomazi-legal-panel,,(unknown)
60,ocds-9t57fa-164091,City of Cape Town,other
65,ocds-9t57fa-164104,Solplaatje Local Municipality,municipality
80,ocds-9t57fa-164137,Tourism,other
80,ocds-9t57fa-164146,Tourism,other
80,ocds-9t57fa-164148,Tourism,other
70,ocds-9t57fa-164166,Gauteng - Agriculture and Rural Development,other
80,ocds-9t57fa-164172,Passenger Rail Agency of South Africa,SOE/statutory body
70,ocds-9t57fa-164185,SASRIA,other
70,ocds-9t57fa-164196,National Youth Development Agency,national/provincial dept
60,ocds-9t57fa-164199,Airports Company of South Africa Limited,SOE/statutory body
70,ocds-9t57fa-164209,Breede-Gouritz Catchment Management Agency,SOE/statutory body
70,ocds-9t57fa-164215,Gamagara Local Municipality,municipality
70,ocds-9t57fa-164221,Airports Company of South Africa,SOE/statutory body
70,ocds-9t57fa-164226,Prince Albert Municipality,municipality
70,ocds-9t57fa-164237,Thabazimbi Local Municipality,municipality
60,ocds-9t57fa-164238,Prince Albert Municipality,municipality
70,ocds-9t57fa-164245,Home Affairs,other
70,ocds-9t57fa-164246,Ehlanzeni District Municipality,municipality
70,ocds-9t57fa-164273,Limpopo - Economic Development Agency,SOE/statutory body
70,ocds-9t57fa-164292,Limpopo - Economic Development Agency,SOE/statutory body
70,ocds-9t57fa-164304,Limpopo - Economic Development Agency,SOE/statutory body
70,ocds-9t57fa-164305,Limpopo - Economic Development Agency,SOE/statutory body
70,ocds-9t57fa-164307,Limpopo - Economic Development Agency,SOE/statutory body
75,ocds-9t57fa-164320,Commission for Conciliation Mediation & Arbitration,other
70,ocds-9t57fa-164321,Mhlontlo Local Municipality,municipality
75,ocds-9t57fa-164373,Banking Sector Education and Training Authority,education
70,ocds-9t57fa-164374,Ulundi Local Municipality,municipality
70,ocds-9t57fa-164403,South African Airways (Pty) Limited,(unknown)
60,ocds-9t57fa-164451,Enoch Mgijima Local Municipality,municipality
70,ocds-9t57fa-164477,iSimangaliso Wetland Park,(unknown)
70,ocds-9t57fa-164488,Ulundi Local Municipality,municipality
40,ocds-9t57fa-164520,Mandela Bay Theatre Complex,(unknown)
70,ocds-9t57fa-164537,The Playhouse Company,SOE/statutory body
60,ocds-9t57fa-164604,Enoch Mgijima Local Municipality,municipality
70,ocds-9t57fa-164616,Western Cape - Western Cape Liquor Board,SOE/statutory body
70,ocds-9t57fa-164630,Nongoma Local Municipality,municipality
75,ocds-9t57fa-164668,Mkhondo Local Municipality,municipality
75,ocds-9t57fa-164671,Mkhondo Local Municipality,municipality
75,ocds-9t57fa-164680,Drakenstein Municipality,municipality
75,ocds-9t57fa-164682,Drakenstein Municipality,municipality
70,ocds-9t57fa-164736,Phokwane Local Municipality,municipality
60,ocds-9t57fa-164747,The Richards Bay Industrial Development Zone,(unknown)
75,ocds-9t57fa-164755,National - Department of Electricity and Energy,national/provincial dept
70,ocds-9t57fa-164786,Swellendam Municipality,municipality
70,ocds-9t57fa-164807,Ingonyama Trust Board,SOE/statutory body
70,ocds-9t57fa-164845,Finance and Accounting Services Sector Education and Training Authority (Fasset),SOE/statutory body
70,ocds-9t57fa-164870,North West - North West Community Education and Training College,education
70,ocds-9t57fa-164881,Maquassi hill Local Municipality,municipality
60,ocds-9t57fa-164889,Agricultural Research Council,SOE/statutory body
75,ocds-9t57fa-164899,Commission for Conciliation Mediation & Arbitration,SOE/statutory body
69,ocds-9t57fa-164914,Umzimkhulu Local Municipality,municipality
70,ocds-9t57fa-164924,City of Cape Town,other public entity
60,ocds-9t57fa-164925,City of Cape Town,other public entity
70,ocds-9t57fa-164935,False Bay TVET College,education
70,ocds-9t57fa-164937,Sarah Baartman District Municipality,municipality
70,ocds-9t57fa-164939,Sarah Baartman District Municipality,municipality
65,ocds-9t57fa-164943,"Media, Information and Communication Technologies Sector Education and training Authority (MICT SETA)",other public entity
80,ocds-9t57fa-164957,Kwadukuza Municipality,municipality
60,ocds-9t57fa-164958,Airports Company of South Africa,other public entity
60,ocds-9t57fa-164970,"Kwazulu Natal - Economic Development, Tourism and Environ Affairs",other public entity
70,ocds-9t57fa-164983,Health,other public entity
50,ocds-9t57fa-164986,Mogale City Local Municipality,municipality
70,ocds-9t57fa-164988,Tswaing Local Municipality,municipality
70,ocds-9t57fa-164991,TSHWANE AUTOMOTIVE SPECIAL ECONOMIC ZONE,other public entity
70,ocds-9t57fa-164995,Airports Company of South Africa,other public entity
70,ocds-9t57fa-165015,King Sabata Dalindyebo Local Municipality,municipality
60,ocds-9t57fa-165016,Mkhondo Local Municipality,municipality
70,ocds-9t57fa-165017,King Sabata Dalindyebo Local Municipality,municipality
70,ocds-9t57fa-165018,King Sabata Dalindyebo Local Municipality,municipality
70,ocds-9t57fa-165020,iSimangaliso Wetland Park,other public entity
70,ocds-9t57fa-165021,King Sabata Dalindyebo Local Municipality,municipality
70,ocds-9t57fa-165024,King Sabata Dalindyebo Local Municipality,municipality
70,ocds-9t57fa-165026,King Sabata Dalindyebo Local Municipality,municipality
70,ocds-9t57fa-165029,King Sabata Dalindyebo Local Municipality,municipality
70,ocds-9t57fa-165031,King Sabata Dalindyebo Local Municipality,municipality
70,ocds-9t57fa-165044,Gauteng - Provincial Treasury,other public entity
75,ocds-9t57fa-165053,Energy and Water Sector Education and Training Authority,SOE/statutory body
70,ocds-9t57fa-165065,The Playhouse Company,other public entity
60,ocds-9t57fa-165080,"Kwazulu Natal - Economic Development, Tourism and Environ Affairs",other public entity
70,ocds-9t57fa-165086,Ehlanzeni District Municipality,municipality
70,ocds-9t57fa-165091,Ehlanzeni District Municipality,municipality
70,ocds-9t57fa-165094,King Sabata Dalindyebo Local Municipality,municipality
70,ocds-9t57fa-165096,King Sabata Dalindyebo Local Municipality,municipality
70,ocds-9t57fa-165097,Ehlanzeni District Municipality,municipality
70,ocds-9t57fa-165098,Health,other public entity
70,ocds-9t57fa-165100,King Sabata Dalindyebo Local Municipality,municipality
80,ocds-9t57fa-165111,"Manufacturing, Engineering and Related Services SETA (merSETA)",(unknown)
75,ocds-9t57fa-165118,Airports Company of South Africa,other public entity
70,ocds-9t57fa-165121,Limpopo - Gateway Airport Authority Limited,other public entity
75,ocds-9t57fa-165124,,(unknown)
70,ocds-9t57fa-165126,Commission for Conciliation Mediation & Arbitration,other public entity
70,ocds-9t57fa-165127,Transnet SOC Ltd,SOE/statutory body
70,ocds-9t57fa-165129,Commission for Conciliation Mediation & Arbitration,other public entity
