point,era,event_class,first_fired_at,last_active_at,max_severity,max_confidence,fired_conditions
mapai,e1977,flash_flood,1975-02-13 01:00:00,1975-02-13 06:00:00,warning,0.75,moist|nbr_max12|nbr_rs6
pafuri,e1977,flash_flood,1975-02-13 03:00:00,1975-02-13 15:00:00,warning,0.75,moist|nbr_max12|nbr_rs6
thohoyandou,e1977,flood,1975-02-13 05:00:00,1975-02-14 05:00:00,severe,1.0,rain_24|rain_48|rsat_24|rsat_72
pafuri,e1977,flood,1975-02-13 07:00:00,1975-02-14 04:00:00,severe,1.0,rain_24|rain_48|rsat_24|rsat_72
chokwe,e1977,flash_flood,1975-03-25 04:00:00,1975-03-25 15:00:00,warning,0.75,moist|nbr_max12|nbr_rs6
xai_xai,e1977,flash_flood,1975-03-25 08:00:00,1975-03-25 11:00:00,warning,0.75,moist|nbr_max12|nbr_rs6
xai_xai,e1977,flash_flood,1975-04-03 13:00:00,1975-04-03 17:00:00,warning,0.75,moist|nbr_max12|nbr_rs6
mapai,e1977,tornado,1975-04-10 20:00:00,1975-04-10 23:00:00,severe,1.0,moist|mslp_fall|shear_high|theta_e_high|theta_e_surge
xai_xai,e1977,flash_flood,1975-04-13 09:00:00,1975-04-13 21:00:00,warning,0.75,moist|nbr_max12|nbr_rs6
mapai,e1977,flash_flood,1975-12-08 12:00:00,1975-12-08 14:00:00,warning,0.75,moist|nbr_max12|nbr_rs6
musina,e1977,flash_flood,1975-12-19 07:00:00,1975-12-19 11:00:00,warning,0.75,moist|nbr_max12|nbr_rs6
pafuri,e1977,flash_flood,1975-12-19 07:00:00,1975-12-19 16:00:00,warning,0.75,moist|nbr_max12|nbr_rs6
thohoyandou,e1977,flash_flood,1975-12-19 08:00:00,1975-12-19 19:00:00,warning,0.75,moist|nbr_max12|nbr_rs6
xai_xai,e1977,flash_flood,1976-01-28 01:00:00,1976-01-30 21:00:00,warning,0.75,moist|nbr_max12|nbr_rs6
chokwe,e1977,flash_flood,1976-01-28 02:00:00,1976-01-29 16:00:00,warning,0.75,moist|nbr_max12|nbr_rs6
